game_id,home_team,away_team,home_score,away_score,true_percentage
2019_12_SEA_PHI,PHI,SEA,9,17,53
2019_12_TB_ATL,ATL,TB,22,35,63
2019_13_BUF_DAL,DAL,BUF,15,26,58
2019_13_CHI_DET,DET,CHI,20,24,83
2019_13_CLE_PIT,PIT,CLE,20,13,65
2019_13_GB_NYG,NYG,GB,13,31,42
2019_13_LA_ARI,ARI,LA,7,34,21
2019_13_LAC_DEN,DEN,LAC,23,20,87
2019_13_MIN_SEA,SEA,MIN,37,30,81
2019_13_NE_HOU,HOU,NE,28,22,79
2019_13_NO_ATL,ATL,NO,18,26,69
2019_13_NYJ_CIN,CIN,NYJ,22,6,27
2019_13_OAK_KC,KC,OAK,40,9,23
2019_13_PHI_MIA,MIA,PHI,37,31,84
2019_13_SF_BAL,BAL,SF,20,17,85
2019_13_TB_JAX,JAX,TB,11,28,39
2019_13_TEN_IND,IND,TEN,17,31,55
2019_13_WAS_CAR,CAR,WAS,21,29,72
2019_14_BAL_BUF,BUF,BAL,17,24,71
2019_14_CAR_ATL,ATL,CAR,40,20,50
2019_14_CIN_CLE,CLE,CIN,27,19,70
2019_14_DAL_CHI,CHI,DAL,31,24,77
2019_14_DEN_HOU,HOU,DEN,24,38,63
2019_14_DET_MIN,MIN,DET,20,7,35
2019_14_IND_TB,TB,IND,38,35,92
2019_14_KC_NE,NE,KC,16,23,70
2019_14_LAC_JAX,JAX,LAC,10,45,22
2019_14_MIA_NYJ,NYJ,MIA,22,21,95
2019_14_NYG_PHI,PHI,NYG,23,17,74
2019_14_PIT_ARI,ARI,PIT,17,23,74
2019_14_SEA_LA,LA,SEA,28,12,43
2019_14_SF_NO,NO,SF,46,48,96
2019_14_TEN_OAK,OAK,TEN,21,42,50
2019_14_WAS_GB,GB,WAS,20,15,75
2019_15_ATL_SF,SF,ATL,22,29,76
2019_15_BUF_PIT,PIT,BUF,10,17,59
2019_15_CHI_GB,GB,CHI,21,13,62
2019_15_CLE_ARI,ARI,CLE,38,24,63
2019_15_DEN_KC,KC,DEN,23,3,13
2019_15_HOU_TEN,TEN,HOU,21,24,88
2019_15_IND_NO,NO,IND,34,7,21
2019_15_JAX_OAK,OAK,JAX,16,20,80
2019_15_LA_DAL,DAL,LA,44,21,48
2019_15_MIA_NYG,NYG,MIA,36,20,56
2019_15_MIN_LAC,LAC,MIN,10,39,26
2019_15_NE_CIN,CIN,NE,13,34,38
2019_15_NYJ_BAL,BAL,NYJ,42,21,50
2019_15_PHI_WAS,WAS,PHI,27,37,73
2019_15_SEA_CAR,CAR,SEA,24,30,80
2019_15_TB_DET,DET,TB,17,38,45
2019_16_ARI_SEA,SEA,ARI,13,27,48
2019_16_BAL_CLE,CLE,BAL,15,31,48
2019_16_BUF_NE,NE,BUF,24,17,71
2019_16_CAR_IND,IND,CAR,38,6,16
2019_16_CIN_MIA,MIA,CIN,38,35,92
2019_16_DAL_PHI,PHI,DAL,17,9,53
2019_16_DET_DEN,DEN,DET,27,17,63
2019_16_GB_MIN,MIN,GB,10,23,43
2019_16_HOU_TB,TB,HOU,20,23,87
2019_16_JAX_ATL,ATL,JAX,24,12,50
2019_16_KC_CHI,CHI,KC,3,26,12
2019_16_LA_SF,SF,LA,34,31,91
2019_16_NO_TEN,TEN,NO,28,38,74
2019_16_NYG_WAS,WAS,NYG,35,41,85
2019_16_OAK_LAC,LAC,OAK,17,24,71
2019_16_PIT_NYJ,NYJ,PIT,16,10,63
2019_17_ARI_LA,LA,ARI,31,24,77
2019_17_ATL_TB,TB,ATL,22,28,79
2019_17_CHI_MIN,MIN,CHI,19,21,90
2019_17_CLE_CIN,CIN,CLE,33,23,70
2019_17_GB_DET,DET,GB,20,23,87
2019_17_IND_JAX,JAX,IND,38,20,53
2019_17_LAC_KC,KC,LAC,31,21,68
2019_17_MIA_NE,NE,MIA,24,27,89
2019_17_NO_CAR,CAR,NO,10,42,24
2019_17_NYJ_BUF,BUF,NYJ,6,13,46
2019_17_OAK_DEN,DEN,OAK,16,15,94
2019_17_PHI_NYG,NYG,PHI,17,34,50
2019_17_PIT_BAL,BAL,PIT,28,10,36
2019_17_SF_SEA,SEA,SF,21,26,81
2019_17_TEN_HOU,HOU,TEN,14,35,40
2019_17_WAS_DAL,DAL,WAS,47,16,34
2019_18_BUF_HOU,HOU,BUF,22,19,86
2019_18_MIN_NO,NO,MIN,20,26,77
2019_18_SEA_PHI,PHI,SEA,9,17,53
2019_18_TEN_NE,NE,TEN,13,20,65
2019_19_HOU_KC,KC,HOU,51,31,61
2019_19_MIN_SF,SF,MIN,27,10,37
2019_19_SEA_GB,GB,SEA,28,23,82
2019_19_TEN_BAL,BAL,TEN,12,28,43
2019_20_GB_SF,SF,GB,37,20,54
2019_20_TEN_KC,KC,TEN,35,24,69
